sample_id,Yield
ICARDA_G1207,6.386
ICARDA_G1208,4.788
ICARDA_G1209,5.402
ICARDA_G1210,5.157
ICARDA_G1276,7.126
ICARDA_G1277,6.017
ICARDA_G1213,5.036
ICARDA_G1216,5.774
ICARDA_G1217,6.386
ICARDA_G1218,6.017
ICARDA_G1219,7.371
ICARDA_G1225,7.123
ICARDA_G1232,7.246
ICARDA_G1233,7.983
ICARDA_G1234,8.229
ICARDA_G1235,6.88
ICARDA_G1242,7.371
ICARDA_G1244,7.74
ICARDA_G1247,7.494
ICARDA_G1248,5.159
ICARDA_G1250,6.263
ICARDA_G1259,6.88
ICARDA_G1261,5.157
ICARDA_G1264,5.402
ICARDA_G1265,7.123
ICARDA_G1268,7.246
ICARDA_G1273,7.369
ICARDA_G1282,5.771
ICARDA_G1284,7.861
ICARDA_G1293,3.927
ICARDA_G1286,5.279
ICARDA_G1289,8.106
ICARDA_G1297,6.754
ICARDA_G1300,6.265
ICARDA_G1302,7.346
ICARDA_G1306,7.863
ICARDA_G1308,5.282
ICARDA_G1309,4.05
ICARDA_G1313,7.003
ICARDA_G1320,6.388
ICARDA_G1322,7.003
ICARDA_G1326,5.402
ICARDA_G1327,5.036
ICARDA_G1332,5.897
ICARDA_G1341,5.897
ICARDA_G1295,7.246
ICARDA_G1346,6.388
ICARDA_G1351,7.494
ICARDA_G1466,7.738
ICARDA_G1362,5.525
ICARDA_G1469,7.738
ICARDA_G1363,7.494
ICARDA_G1366,5.157
ICARDA_G1367,6.019
ICARDA_G1368,6.511
ICARDA_G1369,5.774
ICARDA_G1371,4.911
ICARDA_G1372,6.757
ICARDA_G1376,4.299
ICARDA_G1378,7.371
ICARDA_G1380,6.142
ICARDA_G1383,6.388
ICARDA_G1384,6.265
ICARDA_G1385,5.651
ICARDA_G1390,2.453
ICARDA_G1391,5.402
ICARDA_G1392,4.542
ICARDA_G1393,6.88
ICARDA_G0001,5.107
ICARDA_G1398,5.648
ICARDA_G0005,5.23
ICARDA_G0006,8.302
ICARDA_G0007,4.738
ICARDA_G1404,7.126
ICARDA_G1406,8.352
ICARDA_G1410,5.897
ICARDA_G0012,6.213
ICARDA_G0013,3.755
ICARDA_G1414,7.123
ICARDA_G1415,4.542
ICARDA_G1416,4.173
ICARDA_G1417,2.575
ICARDA_G1418,4.173
ICARDA_G1419,5.402
ICARDA_G0015,2.526
ICARDA_G1421,3.436
ICARDA_G1422,5.402
ICARDA_G0016,6.704
ICARDA_G0017,7.442
ICARDA_G0019,6.582
ICARDA_G0020,6.09
ICARDA_G0021,7.688
ICARDA_G1428,7.126
ICARDA_G1432,6.386
ICARDA_G1434,7.246
ICARDA_G1439,7.123
ICARDA_G1440,7.983
ICARDA_G1442,6.634
ICARDA_G1446,7.123
ICARDA_G1447,4.542
ICARDA_G1449,5.036
ICARDA_G1455,5.279
ICARDA_G1456,4.911
ICARDA_G0034,4.001
ICARDA_G1457,3.927
ICARDA_G1461,7.123
ICARDA_G1462,7
ICARDA_G1463,6.509
ICARDA_G0035,5.967
ICARDA_G0036,6.213
ICARDA_G0038,7.811
ICARDA_G0039,6.827
ICARDA_G0041,5.844
ICARDA_G0043,7.688
ICARDA_G0047,6.95
ICARDA_G0050,7.688
ICARDA_G0058,5.967
ICARDA_G0078,6.582
ICARDA_G0079,8.056
ICARDA_G0082,7.565
ICARDA_G0083,7.934
ICARDA_G0085,5.967
ICARDA_G0099,7.811
ICARDA_G0102,6.09
ICARDA_G0104,7.688
ICARDA_G0106,3.632
ICARDA_G0113,7.073
ICARDA_G0117,5.107
ICARDA_G0118,6.827
ICARDA_G0119,8.548
ICARDA_G0120,7.073
ICARDA_G0122,8.056
ICARDA_G0127,6.95
ICARDA_G0130,7.688
ICARDA_G0131,2.034
ICARDA_G0135,4.001
ICARDA_G0139,5.967
ICARDA_G0141,8.917
ICARDA_G0143,7.442
ICARDA_G0147,2.526
ICARDA_G0148,7.811
ICARDA_G0149,4.001
ICARDA_G0153,8.917
ICARDA_G0155,7.442
ICARDA_G0159,2.034
ICARDA_G0164,2.157
ICARDA_G0165,6.95
ICARDA_G0173,8.794
ICARDA_G0927,6.95
ICARDA_G0181,7.934
ICARDA_G0182,7.934
ICARDA_G0184,7.319
ICARDA_G0185,7.003
ICARDA_G0196,7.934
ICARDA_G0199,5.721
ICARDA_G0203,5.844
ICARDA_G0204,7.565
ICARDA_G0205,4.123
ICARDA_G0206,4.984
ICARDA_G0207,4.984
ICARDA_G0217,5.721
ICARDA_G0222,3.878
ICARDA_G0225,4.984
ICARDA_G0226,3.14
ICARDA_G0231,6.95
ICARDA_G0232,7.073
ICARDA_G0233,4.001
ICARDA_G0234,7.565
ICARDA_G0236,6.95
ICARDA_G0237,6.95
ICARDA_G0238,6.827
ICARDA_G0239,7.811
ICARDA_G0240,6.09
ICARDA_G0242,3.263
ICARDA_G0245,3.386
ICARDA_G0247,4.176
ICARDA_G0249,1.911
ICARDA_G0250,4.123
ICARDA_G0254,2.649
ICARDA_G0257,2.894
ICARDA_G0261,5.475
ICARDA_G0262,5.598
ICARDA_G0263,4.984
ICARDA_G0264,1.542
ICARDA_G0266,5.967
ICARDA_G0268,7.565
ICARDA_G0271,4.667
ICARDA_G0274,1.542
ICARDA_G0278,5.967
ICARDA_G0280,3.386
ICARDA_G0283,5.405
ICARDA_G0284,6.213
ICARDA_G0285,6.142
ICARDA_G0287,6.95
ICARDA_G0288,2.157
ICARDA_G0294,4.861
ICARDA_G0296,5.598
ICARDA_G0299,6.704
ICARDA_G0300,7.073
ICARDA_G0302,6.213
ICARDA_G0304,5.844
ICARDA_G0305,4.492
ICARDA_G0310,4.984
ICARDA_G0312,5.967
ICARDA_G0313,4.861
ICARDA_G0314,6.95
ICARDA_G0315,6.582
ICARDA_G0316,6.459
ICARDA_G0318,6.336
ICARDA_G0321,6.704
ICARDA_G0322,5.23
ICARDA_G0323,7.811
ICARDA_G0324,7.196
ICARDA_G0325,7.442
ICARDA_G0326,4.246
ICARDA_G0328,6.336
ICARDA_G0329,6.213
ICARDA_G0330,5.967
ICARDA_G0332,8.056
ICARDA_G0334,7.811
ICARDA_G0336,2.771
ICARDA_G0337,7.688
ICARDA_G0338,6.582
ICARDA_G0341,7.811
ICARDA_G0342,6.95
ICARDA_G0343,8.056
ICARDA_G0346,7.811
ICARDA_G0356,6.336
ICARDA_G0357,3.386
ICARDA_G0360,7.196
ICARDA_G0361,5.475
ICARDA_G0362,3.878
ICARDA_G0365,3.878
ICARDA_G0366,6.827
ICARDA_G0367,5.107
ICARDA_G0371,5.967
ICARDA_G0372,4.615
ICARDA_G0374,4.615
ICARDA_G0376,5.353
ICARDA_G0384,4.246
ICARDA_G0386,5.721
ICARDA_G0389,6.142
ICARDA_G0393,7.003
ICARDA_G0394,4.123
ICARDA_G0395,5.528
ICARDA_G0397,7.934
ICARDA_G0399,5.528
ICARDA_G0401,7.934
ICARDA_G0402,4.001
ICARDA_G0404,5.23
ICARDA_G0405,5.967
ICARDA_G0406,3.632
ICARDA_G0407,4.79
ICARDA_G0408,5.844
ICARDA_G0412,8.917
ICARDA_G0413,6.88
ICARDA_G0414,7.934
ICARDA_G0419,5.967
ICARDA_G0427,8.425
ICARDA_G0428,6.336
ICARDA_G0429,5.967
ICARDA_G0431,2.649
ICARDA_G0434,4.615
ICARDA_G0435,3.438
ICARDA_G0436,7.617
ICARDA_G0437,5.528
ICARDA_G0439,7.371
ICARDA_G0442,6.582
ICARDA_G0446,7.196
ICARDA_G0447,5.721
ICARDA_G0451,6.336
ICARDA_G0453,7.249
ICARDA_G0455,3.93
ICARDA_G0456,8.425
ICARDA_G0458,7.371
ICARDA_G0461,6.95
ICARDA_G0463,6.142
ICARDA_G0466,6.95
ICARDA_G0467,5.598
ICARDA_G0468,6.265
ICARDA_G0472,8.917
ICARDA_G0474,6.263
ICARDA_G0476,4.542
ICARDA_G0477,7.811
ICARDA_G0478,6.386
ICARDA_G0481,4.984
ICARDA_G0484,4.246
ICARDA_G0490,4.173
ICARDA_G0492,7.123
ICARDA_G0493,4.542
ICARDA_G0494,5.405
ICARDA_G0496,4.665
ICARDA_G0498,6.019
ICARDA_G0501,6.142
ICARDA_G0503,3.561
ICARDA_G0504,4.053
ICARDA_G0514,6.88
ICARDA_G0519,6.634
ICARDA_G0521,5.405
ICARDA_G0522,7.126
ICARDA_G0523,4.176
ICARDA_G0524,6.142
ICARDA_G0525,7.003
ICARDA_G0529,5.159
ICARDA_G0530,4.79
ICARDA_G0533,7.249
ICARDA_G0537,6.265
ICARDA_G0541,4.053
ICARDA_G0546,6.704
ICARDA_G0548,6.634
ICARDA_G0549,8.302
ICARDA_G0557,7.319
ICARDA_G0558,8.425
ICARDA_G0563,4.738
ICARDA_G0565,6.95
ICARDA_G0566,8.302
ICARDA_G0567,5.967
ICARDA_G0568,5.967
ICARDA_G0569,6.95
ICARDA_G0571,2.649
ICARDA_G0572,5.353
ICARDA_G0573,7.319
ICARDA_G0579,3.632
ICARDA_G0580,7.442
ICARDA_G0581,6.95
ICARDA_G0584,7
ICARDA_G0587,8.056
ICARDA_G0592,7.565
ICARDA_G0598,8.056
ICARDA_G0599,6.265
ICARDA_G0600,5.774
ICARDA_G0601,7.688
ICARDA_G0604,6.704
ICARDA_G0608,7.196
ICARDA_G0622,6.388
ICARDA_G0623,3.438
ICARDA_G0626,6.265
ICARDA_G0628,7.003
ICARDA_G0629,7.126
ICARDA_G0630,5.774
ICARDA_G0632,2.698
ICARDA_G0635,8.106
ICARDA_G0637,4.542
ICARDA_G0644,6.263
ICARDA_G0647,5.402
ICARDA_G0650,5.897
ICARDA_G0653,4.173
ICARDA_G0654,2.824
ICARDA_G0655,4.05
ICARDA_G0660,4.542
ICARDA_G0661,5.402
ICARDA_G0662,5.159
ICARDA_G0664,7.371
ICARDA_G0665,6.386
ICARDA_G0666,7.934
ICARDA_G0670,3.438
ICARDA_G0671,6.265
ICARDA_G0680,6.142
ICARDA_G0681,5.159
ICARDA_G0682,7
ICARDA_G0688,7.863
ICARDA_G0693,3.438
ICARDA_G0694,3.561
ICARDA_G0697,5.159
ICARDA_G0698,2.649
ICARDA_G0699,5.159
ICARDA_G0701,6.388
ICARDA_G0704,6.142
ICARDA_G0707,7.003
ICARDA_G0708,7.249
ICARDA_G0713,7.003
ICARDA_G0718,6.388
ICARDA_G0721,2.701
ICARDA_G0723,6.142
ICARDA_G0731,6.142
ICARDA_G0732,3.193
ICARDA_G0733,3.193
ICARDA_G0737,3.632
ICARDA_G0739,7.126
ICARDA_G0743,4.79
ICARDA_G0745,4.545
ICARDA_G0746,4.422
ICARDA_G0748,7.126
ICARDA_G0750,8.109
ICARDA_G0753,6.88
ICARDA_G0755,6.88
ICARDA_G0756,6.634
ICARDA_G0757,3.193
ICARDA_G0763,3.807
ICARDA_G0767,7.986
ICARDA_G0768,5.282
ICARDA_G0775,5.036
ICARDA_G0776,7.494
ICARDA_G0777,6.634
ICARDA_G0778,7.126
ICARDA_G0779,5.897
ICARDA_G0798,7.494
ICARDA_G0801,7.494
ICARDA_G0802,7.863
ICARDA_G0805,7.74
ICARDA_G0824,5.897
ICARDA_G0827,7.126
ICARDA_G0848,6.265
ICARDA_G0849,7.126
ICARDA_G0855,6.019
ICARDA_G0857,6.757
ICARDA_G0859,5.036
ICARDA_G0862,5.774
ICARDA_G0866,6.265
ICARDA_G0877,7.126
ICARDA_G0881,5.159
ICARDA_G0883,6.634
ICARDA_G0887,5.036
ICARDA_G0888,7.126
ICARDA_G0889,7.126
ICARDA_G0892,6.388
ICARDA_G0894,6.88
ICARDA_G0899,4.913
ICARDA_G0902,5.897
ICARDA_G0906,6.634
ICARDA_G0907,3.93
ICARDA_G0910,7.863
ICARDA_G0915,6.142
ICARDA_G0916,5.159
ICARDA_G0917,4.176
ICARDA_G0919,7.249
ICARDA_G0920,7.617
ICARDA_G0921,7.249
ICARDA_G0922,6.634
ICARDA_G0930,5.897
ICARDA_G0932,7.126
ICARDA_G0934,4.176
ICARDA_G0942,7.003
ICARDA_G0943,5.405
ICARDA_G0945,6.142
ICARDA_G0948,4.176
ICARDA_G0949,6.634
ICARDA_G0956,5.897
ICARDA_G0965,6.88
ICARDA_G0967,6.88
ICARDA_G0968,5.897
ICARDA_G0972,7.617
ICARDA_G0975,4.053
ICARDA_G0976,6.877
ICARDA_G0977,5.036
ICARDA_G0978,5.036
ICARDA_G0979,7.126
ICARDA_G0981,7.003
ICARDA_G0983,7.126
ICARDA_G0985,5.525
ICARDA_G0986,5.648
ICARDA_G0987,7.369
ICARDA_G1004,7.246
ICARDA_G1005,6.14
ICARDA_G1006,7.123
ICARDA_G1009,6.263
ICARDA_G1013,4.911
ICARDA_G1019,6.386
ICARDA_G1022,7.369
ICARDA_G1023,7
ICARDA_G1037,7.246
ICARDA_G1039,4.419
ICARDA_G1045,7.369
ICARDA_G1048,5.774
ICARDA_G1052,6.386
ICARDA_G1059,6.263
ICARDA_G1061,7.126
ICARDA_G1065,5.525
ICARDA_G1066,4.173
ICARDA_G1067,7.369
ICARDA_G1069,6.877
ICARDA_G1071,4.419
ICARDA_G1078,7.246
ICARDA_G1082,4.665
ICARDA_G1086,7.615
ICARDA_G1088,7.492
ICARDA_G1093,7.123
ICARDA_G1095,8.106
ICARDA_G1097,7.615
ICARDA_G1098,8.106
ICARDA_G1102,7.369
ICARDA_G1106,7.494
ICARDA_G1108,7.123
ICARDA_G1109,5.402
ICARDA_G1110,2.824
ICARDA_G1111,6.757
ICARDA_G1112,6.631
ICARDA_G1116,8.352
ICARDA_G1121,4.422
ICARDA_G1128,6.634
ICARDA_G1134,8.352
ICARDA_G1146,7.369
ICARDA_G1148,6.265
ICARDA_G1151,3.559
ICARDA_G1152,7.123
ICARDA_G1154,7.126
ICARDA_G1162,7.003
ICARDA_G1163,7.617
ICARDA_G1166,7.494
ICARDA_G1174,7.126
ICARDA_G1176,6.88
ICARDA_G1184,5.036
ICARDA_G1189,7
ICARDA_G1190,6.386
ICARDA_G1200,4.296
