Taxa,Area,B_glucan,Circularity,Diameter,DTH,Fe,FLA,FLH,GpS,GWS,GY,HW,Length,Length_Wid,PdH,PdL,Perimeter,PH,Protein,SL,TKW,width,Zn
G1,22.72177,6.848584,1.887915,5.366522,75.89584,29.67685,16.58676,82.77116,44.70886,1.6156277,1.3747605,57.65487,10.542981,3.313525,91.09761,8.132094,29.0701,96.7614,14.06372,5.343668,28.48964,3.251696,31.21179
G2,23.07877,7.430943,1.78007,5.403555,70.17532,31.59088,7.966124,62.36145,25.25222,1.0563208,1.3735596,64.41055,10.106793,3.013035,63.656,1.034193,28.33654,70.5672,14.1609,6.804813,35.00164,3.439623,34.21217
G3,19.93612,4.012621,1.555492,5.034355,74.19461,34.15825,7.59235,61.81653,25.72167,0.9516462,0.9054266,69.41048,8.56579,2.524445,68.75482,6.555505,24.57919,77.16486,15.23294,8.074976,31.95561,3.455571,25.50724
G4,23.32083,6.091926,2.300471,5.420909,74.39462,31.44544,18.753322,69.77661,66.23116,2.520201,0.7614383,55.3559,11.920853,3.833381,69.50663,0.9639243,32.21194,79.22446,14.34877,10.039594,27.27054,3.204069,32.24918
G5,19.54859,7.307811,1.896487,4.981714,77.66037,30.31127,16.532845,64.38496,54.63221,1.2044795,0.8827177,53.6594,9.781558,3.305421,64.10002,-0.641649,27.02846,71.78375,14.46224,7.526454,24.64983,3.000305,33.58773
G7,22.96829,7.267738,1.752493,5.422541,72.6542,30.61605,18.40302,78.08801,26.63211,1.0843463,2.0644185,64.98411,9.968898,2.978634,80.59519,2.598928,28.03643,88.70248,14.31356,8.314572,33.83401,3.429043,33.9271
G8,24.15301,6.516815,1.903725,5.511479,73.06371,34.49188,13.165159,66.77562,51.35892,2.4582796,1.5887862,59.9005,10.91799,3.206031,74.30561,7.857492,30.17215,80.94017,15.21018,6.352677,29.0439,3.420575,34.68302
G9,22.52751,6.608225,1.901783,5.336156,74.04873,33.49028,12.682691,69.98692,38.2323,1.3928296,1.2118309,56.50861,10.502563,3.241124,75.24064,5.578621,28.92822,83.62289,14.93425,8.365056,31.82218,3.333389,29.96857
G12,21.53395,7.121876,1.618225,5.22774,77.23398,32.34481,11.629285,61.29312,31.28971,1.2032534,1.2961393,62.75776,9.245332,2.697188,64.11338,3.062002,26.28273,72.07131,14.56293,8.262385,28.09158,3.500696,35.09732
G13,19.26368,7.070931,1.878297,4.975031,76.56273,31.7031,17.281531,62.8386,43.46615,1.3072053,1.0507278,58.2078,9.664583,3.195656,64.11994,1.609596,26.82752,70.98379,14.29749,6.859936,29.91953,3.077496,32.45874
G15,17.48008,3.735096,1.62047,4.590672,77.66659,42.37146,26.929665,68.14808,60.86161,1.6092967,1.3268677,67.18442,8.234597,2.699877,75.1581,7.413438,23.06549,81.91401,16.34367,7.190143,26.24907,3.160178,23.09143
G17,24.0248,4.91798,1.594149,5.516323,72.94782,31.98555,10.360014,72.29263,24.19307,1.0499514,0.7894572,61.54636,9.709359,2.715359,70.923,-0.4694651,27.65069,78.18191,14.89079,7.774403,34.40251,3.642822,31.3048
G18,22.31159,6.486921,1.88353,5.300697,67.63327,38.35437,12.498014,65.75745,54.97432,2.2009551,0.6427446,62.71205,10.391873,3.057265,72.01977,5.528869,28.8476,80.49193,15.69438,8.564636,30.16602,3.448112,34.63071
G19,22.16574,4.644751,1.842835,5.282069,66.7145,33.48559,17.097568,71.3344,50.09106,1.7704126,0.8506992,58.93797,10.146264,3.160355,74.86428,2.781836,28.18461,83.05631,14.79745,7.698733,25.25619,3.256399,24.83683
G21,22.09289,7.192076,1.702472,5.339215,74.74008,34.40342,22.289915,66.79994,27.99183,1.1919266,1.6268913,62.10976,9.774886,2.909411,67.94772,2.287618,27.07904,75.67244,14.53886,8.387825,30.83805,3.458478,35.03879
G22,31.1648,6.052485,1.894075,6.276427,69.30903,32.43725,12.927719,64.02002,22.4526,1.1178439,1.5131742,63.54126,12.269004,3.248814,69.74427,6.617394,34.11969,77.03305,14.67751,7.099863,33.30004,3.845056,31.87869
G24,23.31557,6.012412,2.098832,5.437139,67.30102,29.73927,18.517655,59.09612,46.17143,1.5558863,0.9819892,57.14529,11.245481,3.618558,63.9416,5.609405,30.87909,72.34495,13.91755,8.856912,31.23531,3.199072,31.0777
G25,22.76795,7.020738,2.107453,5.389902,74.14476,27.63361,13.887284,66.36492,52.25376,2.0513374,1.219637,54.21239,11.246682,3.653743,74.29003,8.04245,30.71493,80.10286,13.63174,5.770578,29.31995,3.149211,31.91793
G26,24.30342,5.654099,2.178583,5.550252,72.67107,28.45071,17.923778,59.86896,50.19127,1.8954818,1.2719992,57.86379,11.855403,3.830433,60.04626,0.5895591,32.27733,66.19045,13.68584,5.988156,34.09335,3.139757,28.28504
G27,26.71765,6.843048,1.901164,5.813589,73.28984,29.29955,14.568973,64.31698,21.45214,0.9694237,1.5341996,61.81072,11.417267,3.294862,64.61219,0.2909361,31.59962,71.85276,13.99942,7.169823,33.19058,3.541241,29.4331
G28,25.55364,6.617041,2.064662,5.69483,78.73279,28.61037,24.105155,73.56737,53.42627,2.2993727,1.1272731,58.29721,11.785115,3.555133,76.0323,2.699417,32.22999,82.69401,13.81346,6.809096,32.78998,3.377182,30.85398
G30,23.78639,6.315737,2.006046,5.474732,75.79098,33.22351,15.414171,69.76704,48.43124,1.851753,1.1155886,57.77701,11.123245,3.417349,74.27575,4.987732,30.63336,82.21894,14.9993,7.85911,30.42868,3.316464,31.83158
G33,21.50603,6.967063,1.88085,5.221837,72.04133,34.89015,15.131758,65.83544,50.52812,1.8042728,0.8473446,61.70266,10.078235,3.065775,77.23758,10.95134,28.10987,84.09275,15.0158,6.696625,25.29856,3.386955,31.30233
G34,22.19739,7.137489,2.032611,5.305091,76.18,27.30763,21.551678,61.63095,58.50629,2.0066489,1.4222734,53.66152,10.803518,3.45649,64.43863,2.114017,29.69681,71.97552,13.58873,7.084724,29.49887,3.185077,30.01232
G35,21.7006,6.687328,1.806152,5.204434,80.96089,35.71796,15.329677,62.45265,62.16249,1.9739952,1.098625,59.15532,9.932895,3.115482,58.31852,-4.792548,27.58467,67.41253,15.2254,8.984542,30.3793,3.276181,32.60058
G36,24.94855,6.520173,2.129563,5.613817,77.15935,30.07827,13.635344,67.08923,46.53843,1.8244638,1.4292179,55.24457,11.542282,3.463001,72.00308,5.082874,32.2091,78.57061,14.34189,6.36511,30.75511,3.435129,32.13422
G37,23.11009,6.566951,1.579247,5.376403,78.83175,35.06951,11.241555,58.85804,24.37405,1.1324035,0.7783837,62.4535,9.416245,2.630191,58.60393,-0.000644275,26.52898,67.49277,15.23862,8.807221,31.897,3.639706,35.49104
G38,26.7845,7.660362,1.746398,5.783691,76.1468,32.00265,12.174078,64.33072,25.94566,1.2076985,1.3553743,62.15213,10.655307,2.945909,70.49004,5.577286,30.11636,78.68969,14.23424,8.487143,31.8006,3.783337,34.39257
G39,20.2729,7.500113,1.812394,5.083982,75.85372,30.19576,21.059906,65.58368,64.15749,2.2543492,1.0924107,59.0723,9.700196,3.154565,69.47518,4.76906,26.87166,76.21657,14.40729,7.167556,30.38852,3.157407,37.67542
G40,21.69324,7.142712,1.644936,5.200953,75.49141,33.21655,21.928785,61.89084,55.43881,2.0584977,1.4229271,61.59335,9.311379,2.821218,70.98557,9.414381,26.15222,77.46054,14.46791,6.587479,28.76216,3.388502,32.40076
G41,25.39371,8.590291,1.616432,5.694564,73.48928,30.18009,14.791447,65.71635,27.22156,1.3446864,1.4910077,62.23876,10.066888,2.725285,76.0393,10.03122,28.48574,85.07046,14.21984,8.888435,37.41185,3.781265,34.78614
G42,22.38259,7.091853,1.626217,5.287122,73.25934,37.01015,16.633261,63.50944,27.48988,1.1302964,0.9375399,62.2503,9.370056,2.78843,73.16397,10.3959,26.37931,79.79654,15.41828,7.684297,30.69556,3.491787,34.2053
G43,24.34155,6.670879,1.684625,5.573771,80.08771,33.10614,12.296872,70.08228,29.99378,1.3831889,0.7004027,62.55685,10.157515,2.823754,63.4869,-5.242876,28.57166,72.75887,14.78918,9.05585,31.71194,3.643103,34.07639
G44,20.60255,8.23352,1.967071,5.098324,73.53811,35.02675,16.867511,58.11794,46.8582,1.457878,0.9225688,61.46669,10.20982,3.3123,65.33718,6.694239,28.05606,72.98478,15.62835,7.467528,29.02569,3.186567,39.11596
G45,26.83013,5.751097,1.777494,5.831348,77.89594,30.92997,18.292344,69.73777,28.19332,1.3304351,1.3004141,62.22822,10.904831,2.994158,74.15324,4.574096,30.4267,83.08353,14.83063,9.153181,37.43436,3.724251,35.08456
G46,21.68197,7.544553,1.563702,5.257217,80.93168,35.58593,11.070391,55.57292,24.57995,0.9611688,1.2875136,61.82475,9.041825,2.56216,57.05584,1.620418,25.88644,64.87374,15.26271,7.859278,33.20506,3.602884,35.67303
G47,23.70208,7.586977,2.045997,5.504833,75.80479,28.55078,21.953327,64.80431,51.52735,1.8401712,1.6175507,56.50515,11.387315,3.568723,70.52065,6.124164,31.16731,78.34266,13.73835,7.669701,32.16331,3.254205,32.41147
G50,21.20548,7.432745,1.651929,5.197262,80.08102,34.78771,12.87319,55.71521,26.63936,0.9498017,0.7355244,63.9762,9.356355,2.795755,51.3463,-4.885265,26.33017,60.07742,15.26819,8.42138,31.15002,3.387902,36.63524
G51,20.36825,7.017695,1.894653,5.068936,73.43301,32.51433,17.227711,68.05121,58.01053,1.8968661,1.0510904,57.641,9.932139,3.288924,73.35284,4.32248,27.47352,81.60772,14.69033,8.594106,24.67596,3.092571,32.85478
G52,21.05676,6.128196,1.751034,5.152995,68.80201,31.08807,18.705163,65.98413,58.07385,1.9214739,0.729886,62.00743,9.617685,3.02712,69.42339,3.707193,26.86912,76.3526,14.38732,6.937594,29.2645,3.254611,30.48876
G53,19.49794,8.020075,1.710908,4.963113,74.34653,35.02896,23.671497,63.93198,63.86707,2.0869178,1.1829497,59.07067,9.199433,2.945245,70.56834,5.024687,25.64945,78.97171,15.35171,7.726295,27.79506,3.191936,36.62449
G54,22.52677,7.39935,1.713056,5.338612,70.72738,31.69459,20.349439,64.31204,55.74162,2.1269433,1.043583,61.73002,9.815402,2.894818,74.49906,10.8869,27.59358,82.23124,14.62015,7.584369,31.0801,3.46623,35.33621
G55,20.84079,7.005118,1.758314,5.13454,76.5353,32.13102,36.636371,62.39634,68.81277,2.2044345,1.187529,61.5734,9.69199,3.039986,65.32448,3.445493,26.93729,74.23421,14.32578,8.653108,29.25478,3.223486,32.6511
G56,20.81844,5.454998,1.744791,5.101747,74.415,37.78114,19.354477,72.82771,56.42829,1.6547464,1.9685338,58.76581,9.365089,2.958684,75.04668,1.394783,26.47818,82.05536,15.58531,7.008455,24.58177,3.26627,25.90924
G57,27.94177,6.019766,1.7718,5.886173,77.34543,32.92584,19.0963,69.35435,24.52035,1.4202546,1.5004185,63.69273,11.075866,3.058306,77.63901,9.238487,30.73025,86.76265,14.9128,8.761552,38.79133,3.720536,33.1851
G59,22.56717,6.445688,1.825937,5.364263,73.41128,31.73363,9.881202,61.17992,22.74913,0.7646379,1.1463321,60.67657,10.238011,3.229527,60.90727,0.518638,28.08466,67.84592,14.44881,7.179102,32.14591,3.212299,36.0794
G60,22.28642,6.201123,1.732101,5.286035,76.08366,31.50928,10.095131,69.58514,24.07249,0.8721998,1.0434392,62.17963,9.852871,2.970936,71.91634,2.410414,27.49815,80.35935,14.55261,8.299145,30.7579,3.378817,33.81867
G61,24.42887,5.724521,1.683093,5.537935,74.19569,33.11793,15.567006,60.61858,23.15273,1.1393156,1.1866134,62.25003,9.76574,2.895035,68.59499,6.783058,28.20409,76.94805,14.66653,8.078395,35.89841,3.612554,35.39298
G62,23.66343,6.255528,1.934092,5.487473,74.296,30.97288,8.65366,61.42913,46.10938,1.6434983,1.185814,60.70494,10.867953,3.3629,64.89272,8.350249,30.04525,72.35303,14.54566,7.543353,28.84997,3.325451,34.02878
G63,23.46048,8.144049,1.75038,5.446181,79.26371,30.78742,14.739403,65.30002,26.3005,0.9926426,1.4683844,61.95977,10.099042,2.900443,63.7015,-0.286998,28.45242,71.93577,14.1243,8.219852,33.1775,3.563034,34.49565
G64,18.38015,6.497539,1.871123,4.914994,77.93265,32.6203,7.073037,66.87581,37.19896,0.8388138,0.9832007,61.36518,9.874367,3.282751,64.82659,-1.467604,26.49928,71.98235,14.66028,7.727648,29.98938,2.781528,36.92088
G65,23.85477,5.728541,2.045113,5.534377,74.08008,28.17887,14.645382,52.30488,49.24248,1.7495464,1.4937432,54.84059,11.381373,3.505804,55.37947,2.783825,31.18939,62.06222,13.81732,6.563013,32.11287,3.286858,30.02166
G66,24.01184,6.513541,1.88329,5.541493,77.47512,30.06508,13.763566,81.0024,55.09511,2.2617431,1.1792828,57.59243,10.753528,3.17137,83.03868,1.1162,29.74054,91.77017,14.42133,8.665695,31.53354,3.474985,31.58609
G67,25.88545,4.870315,1.596991,5.710493,72.29456,34.88487,19.774848,57.1293,20.64675,1.0093128,1.3658622,57.8447,10.10481,2.776763,63.23466,6.764029,28.43511,73.01693,15.48025,9.874901,33.32999,3.713868,32.16582
G68,25.37264,6.240621,1.588024,5.666329,67.27229,32.1211,21.956135,57.79209,24.86055,1.2557797,1.0372087,65.31115,9.907156,2.672418,61.27901,4.494469,28.24174,67.49241,14.60392,6.613712,37.77034,3.755373,36.0845
G69,21.72851,5.032237,1.578272,5.214626,78.9682,33.02997,10.982396,62.69554,29.5891,1.2151707,1.453541,64.60375,9.128462,2.6278,60.75505,-1.826947,25.72886,69.41249,15.17304,8.863141,30.72966,3.530817,34.75076
G70,21.92482,6.502742,1.659505,5.268212,83.55734,34.24842,11.439434,58.23501,24.46229,0.8365343,0.7071294,61.1532,9.394036,2.793426,51.76487,-5.816817,26.56524,59.37263,15.25019,7.695964,29.48155,3.462947,33.73573
G71,18.35576,4.735438,1.744297,4.838279,76.18273,45.30544,17.773216,64.37769,54.54996,1.7813921,1.2699091,64.6497,9.092021,2.964821,63.84075,-0.03888905,25.26924,71.81118,16.55891,7.71961,26.78234,3.074919,25.10535
G72,23.48201,5.432119,1.633435,5.375571,81.36038,35.12467,5.319628,52.83416,24.40984,1.0247722,0.8207952,63.4811,9.667838,2.6433,49.90481,-2.987709,27.10296,56.96547,15.1241,6.696951,30.17024,3.692817,30.9047
G73,23.01956,5.006918,1.733805,5.40943,79.6685,33.56573,5.021098,55.65855,23.75165,0.8850668,1.0308248,64.71525,10.00212,2.927572,50.12511,-4.887441,28.09293,58.97089,14.54595,8.830214,34.88991,3.44912,30.50059
G74,21.75054,5.56125,1.723011,5.277551,80.47887,33.70361,12.306814,61.31847,25.02761,0.8423946,0.897284,61.70338,9.650537,2.818396,57.6867,-4.210338,27.22753,66.57495,14.98162,8.793236,31.27687,3.508743,32.96026
G75,22.20819,5.444554,1.668372,5.028486,82.70655,30.43919,7.285363,57.50611,23.16866,0.8734532,1.2898146,62.02108,9.536992,2.836666,52.09917,-4.816092,25.66821,62.16459,14.3834,9.94652,31.07282,3.452836,31.64531
G76,20.81473,5.320897,1.683919,5.12296,80.22803,32.64331,7.771967,52.77435,22.09998,0.7439306,1.1681753,63.0913,9.240177,2.828929,47.99264,-4.427357,25.95028,57.14193,14.738,9.183215,30.50733,3.379574,29.11741
G77,20.64377,6.009538,1.629745,5.143716,81.26269,36.05441,10.468659,54.89338,24.86445,0.921452,1.0214745,62.00539,9.067155,2.732525,49.77164,-5.604097,25.76823,58.44388,15.55059,8.818841,29.47592,3.401364,35.67084
G80,23.40869,6.910096,1.664059,5.440564,82.31131,32.54478,10.415006,56.80132,21.54872,0.7975457,0.903333,60.34302,9.805904,2.757827,54.09472,-2.738428,27.51549,61.85754,14.7928,7.529815,28.94794,3.613871,34.17606
G81,23.4355,7.330541,1.702266,5.441479,81.65369,33.15291,7.383516,60.40563,24.64558,0.9553433,1.1953755,62.63265,9.956577,2.911564,52.66786,-7.552287,27.88648,62.73697,14.86807,9.718591,32.91795,3.481006,34.95108
G82,23.11905,6.951046,1.648357,5.407444,79.63384,33.52732,12.254229,59.20021,25.89601,0.9741755,1.2299158,63.95851,9.755618,2.806202,53.73381,-5.139853,27.37693,64.43931,14.98005,10.711187,31.14433,3.507354,37.27091
G83,23.3449,6.447036,1.624125,5.451657,79.18244,32.5066,5.923713,58.65342,24.54984,1.0236834,1.8195109,62.20211,9.513904,2.625493,53.02314,-5.179159,27.25405,61.4964,14.53122,8.433348,32.8329,3.717547,33.90499
G84,22.72886,6.63517,1.697258,5.146048,78.4792,32.03626,16.73868,60.21169,23.0542,0.9466699,0.9902388,63.89871,9.653328,2.906072,55.24783,-5.151977,26.29937,63.94314,14.74139,8.512411,33.12202,3.53412,34.36283
G86,22.96864,7.408252,1.882279,5.494732,75.86276,31.07243,18.955019,73.3184,39.50927,1.6423222,1.6372122,61.19802,10.116991,3.378952,81.78028,9.37974,29.68114,87.79332,14.14945,6.240233,32.51553,3.390024,33.46328
G88,23.74322,6.804781,1.70128,5.432551,79.14216,34.57183,9.116625,60.03869,26.7492,1.0398538,1.1626355,65.68188,10.0316,2.929575,55.78155,-4.922092,27.92729,63.56425,15.35997,8.071093,30.71185,3.543253,36.14528
G89,23.73216,6.567406,1.631434,5.491424,82.52386,35.0987,11.354665,58.11933,24.06388,0.9978991,0.9956976,63.50306,9.612476,2.622411,57.93386,-0.3496299,27.65477,66.56179,15.03177,8.549815,32.51084,3.77498,32.58583
G90,22.7644,6.525593,1.661934,5.404957,80.92451,34.79157,8.709092,61.17697,21.24051,0.7812964,1.7267533,65.18121,9.582286,2.719291,58.56425,-3.301952,27.68509,67.24057,14.86321,8.779587,31.34105,3.62534,32.86723
G92,25.67942,5.909096,1.701482,5.674397,80.8866,36.40324,8.443876,52.91037,20.51212,0.9411164,1.3124891,64.88534,10.401618,2.816976,48.98751,-4.019094,29.03726,56.00279,15.54939,7.778578,34.83273,3.781428,37.48859
G93,24.31245,6.357105,1.614769,5.489541,78.28636,35.35459,13.395178,60.42836,24.22073,1.0810388,1.326608,64.18706,9.676912,2.699024,57.07478,-3.671025,27.51224,65.61955,15.08873,9.123927,35.62615,3.732231,32.21426
G94,24.81785,6.282516,1.908522,5.627847,76.5627,35.11527,23.488971,80.25547,62.00642,2.6608841,1.3646846,60.6717,11.098447,3.359644,83.68986,3.751223,30.5292,91.13623,14.26974,7.403312,31.98193,3.346672,29.64268
G96,21.89628,5.218024,1.574469,5.332799,79.52991,33.70286,9.558293,54.96347,23.25736,0.9886502,1.2719613,60.81174,9.327073,2.655085,49.88797,-5.834239,26.20303,56.75491,14.97382,7.213779,28.73446,3.530735,31.0159
G97,22.56709,6.03488,1.746411,5.367852,80.61994,30.87663,7.879694,65.8828,25.35006,0.8875116,1.6960812,64.96565,10.01051,3.010475,55.50074,-10.20881,27.78123,64.31066,14.21534,8.729068,31.86048,3.345959,30.63482
G99,26.11791,8.117911,1.699978,5.762657,75.24715,32.17276,15.076019,71.15025,28.48083,1.3112493,1.5895021,63.63498,10.525146,2.902562,77.27958,6.580151,29.52516,87.04729,14.67554,9.826476,36.86102,3.688324,37.48381
G100,22.29833,6.276722,1.62081,5.334648,76.5943,33.49473,13.476192,64.81116,25.34078,1.015838,2.3196619,63.73889,9.458897,2.777104,71.02712,6.307513,26.71939,79.60043,15.17399,8.827226,33.5708,3.478835,35.51865
G101,19.93417,5.87669,1.767714,5.030452,76.83094,32.69964,8.924369,57.81253,52.06204,1.6557679,1.1516185,56.81497,9.569658,3.004877,60.04895,1.411794,26.39428,67.15504,14.87482,6.879079,28.97897,3.224818,32.31388
G102,23.92129,7.647383,1.793557,5.518715,76.8594,29.10132,19.260884,72.82945,27.01314,1.2047982,1.0793074,58.08058,10.365843,3.025805,76.5174,2.717355,29.03246,83.81073,14.19574,7.549947,34.14767,3.514891,35.36962
G103,25.2111,6.447412,1.67788,5.678391,79.16582,36.84419,11.149187,82.62015,28.25507,1.3384719,1.1764752,65.22412,10.183712,2.777592,81.89038,-0.2458837,28.78994,90.31455,15.37147,8.25006,35.06947,3.757966,35.89412
G104,24.36128,6.753103,1.604879,5.580488,72.23674,32.95542,10.853172,61.69489,29.05902,1.3184092,1.2513414,63.30525,9.833716,2.747625,70.1859,8.867525,27.91121,78.03686,14.81475,7.534322,33.20065,3.653186,33.27274
G105,24.06825,5.541072,1.678358,5.472828,77.09893,30.80042,6.763447,64.17255,23.27735,0.9638299,2.4724869,66.43746,10.42664,2.909225,65.02454,0.2018235,27.88172,72.06586,14.33959,7.181412,37.70046,3.459125,37.00636
G106,25.61894,6.522854,1.725506,5.646835,76.72245,35.51357,9.795753,65.01081,30.04034,1.4558374,1.1155909,65.8749,10.5157,2.986481,71.98536,7.361256,29.32902,79.27103,15.12023,7.212741,35.09037,3.563022,34.71046
G108,19.64525,5.675818,1.700125,5.022503,76.10336,31.10729,17.388434,58.64864,55.7102,1.8842578,1.3835716,65.75544,9.269486,2.956744,61.72798,2.637523,25.61336,69.84958,14.06261,7.984191,29.24638,3.1604,31.53599
G109,24.34794,6.095171,1.616085,5.587098,78.38813,31.07282,9.599154,71.55005,32.56538,1.5293735,1.1721348,60.27345,9.893655,2.746776,69.68037,-1.750964,27.96634,79.10518,14.50331,9.362478,30.83347,3.665573,32.52475
G110,28.96363,6.19409,1.966305,5.520196,75.59901,27.77611,21.909832,62.87657,32.96328,1.6563475,1.6806509,57.07641,12.132389,3.325593,69.06087,5.535202,30.48641,75.8546,13.25685,6.9562,31.4885,3.756257,28.22863
G111,28.52344,6.069943,1.689856,5.998355,72.98003,31.13756,13.86171,49.13765,21.50896,1.0784797,1.2371777,61.20109,10.820401,2.771592,51.91614,2.613098,30.73509,59.21576,14.49215,7.126231,32.93602,3.980959,31.69917
G112,19.95238,6.853477,1.898469,4.983082,75.22191,34.01787,16.73099,69.21137,69.9599,2.203669,1.0079983,60.29924,9.833494,3.257941,76.09319,7.205834,27.10086,84.96809,14.9359,8.952802,25.45208,3.066135,34.16612
